"populace","oblast","puvod","zemepisna_sirka","zemepisna_delka","tloustka_listu_mm","teplota_rocni_C","teplota_sezonnost","teplota_max_C","teplota_min_C","srazky_rocni_mm","srazky_nejvlhci_mesic_mm","srazky_nejsussi_mesic_mm","srazky_sezonnost"
"CN5","CN","Puvodni",28.18631848,116.7612892,0.3106,18.7500000000001,801.4,33.2500000000001,2.35000000000002,2022.3,375.6,58.4,57.6
"CN50","CN","Puvodni",32.84517958,118.4354801,0.30676,15.2500000000001,888.8,30.85,-2.64999999999998,1177.9,266.7,27.7,70.5
"CN6","CN","Puvodni",27.86845049,116.780293,0.35504,19.05,809.5,33.65,2.35000000000002,2076.9,373.3,58.3,56.4
"CN7","CN","Puvodni",27.65771744,116.6771724,0.33944,19.2500000000001,811.4,33.95,2.55000000000001,1828,324,50.9,56.1
"CN8","CN","Puvodni",27.37891948,116.4477133,0.34792,18.35,783.3,32.95,2.05000000000001,1943.8,340.5,50.4,55.6
"CN9","CN","Puvodni",27.07780458,116.3392752,0.31396,18.55,780.3,33.05,2.15000000000003,2150.2,376.5,54.9,56.9
"EU1","EU","Zavleceny",44.88361,7.68843,0.43308,13.05,744.3,28.2500000000001,-1.64999999999998,711.8,99.6,30.7,38.1
"EU10","EU","Zavleceny",46.51352,8.69992,0.43996,6.75000000000006,718.9,21.15,-7.54999999999995,1626.6,181.2,75.6,24.9
"EU11","EU","Zavleceny",47.15534,8.56083,0.42804,8.75000000000006,629.3,21.45,-3.54999999999995,1991.1,235.4,111.6,27
"EU12","EU","Zavleceny",47.62404,8.2154,0.45288,10.45,675.1,24.15,-2.54999999999995,1179.6,125.1,78.7,11.8
"EU13","EU","Zavleceny",47.81194,7.61194,0.44276,10.7500000000001,665.3,24.65,-1.74999999999994,1143.6,122.7,69.7,15.5
"EU14","EU","Zavleceny",47.9401,7.87734,0.4114,8.55000000000001,638.8,21.7500000000001,-3.44999999999999,1721.7,176.9,117.5,11.9
"EU15","EU","Zavleceny",48.2796,8.11127,0.4074,10.15,659.1,23.65,-2.24999999999994,1201.6,121.6,83.7,11.8
"EU16","EU","Zavleceny",48.3737,8.55788,0.43812,8.35000000000002,655.4,21.65,-4.14999999999998,1105.6,115.4,73,13
"EU17","EU","Zavleceny",48.46553,8.91653,0.40496,9.25000000000006,663.5,22.7500000000001,-3.34999999999997,830.9,93.8,52.5,17.5
"EU18","EU","Zavleceny",48.56372,8.39383,0.44036,8.75000000000006,651.6,21.95,-3.34999999999997,1399.3,153.4,93.2,14.6
"EU19","EU","Zavleceny",48.78511,8.32216,0.40845,10.45,673.1,24.05,-1.84999999999997,1304.4,133.1,88.5,11.2
"EU2","EU","Zavleceny",44.74757,7.47791,0.42745,12.85,703.2,26.95,-1.44999999999999,848.9,112.9,36.8,36.5
"EU21","EU","Zavleceny",49.58927,8.73014,0.43904,10.15,658.6,23.95,-1.64999999999998,1193.7,111.4,79.6,10
"EU22","EU","Zavleceny",49.90489,8.83001,0.4602,10.2500000000001,654.8,23.95,-1.34999999999997,825.3,78,55.3,9.7
"EU23","EU","Zavleceny",50.07063,8.48126,0.45508,10.2500000000001,658,24.05,-1.34999999999997,713.7,70.2,46.4,12
"EU25","EU","Zavleceny",50.31413,7.78856,0.42856,9.95000000000005,640.8,23.15,-1.44999999999999,729.3,68,48.7,8.8
"EU26","EU","Zavleceny",50.54085,7.08143,0.4562,9.65000000000003,591.2,22.2500000000001,-0.949999999999989,721,72.7,47.4,12.5
"EU27","EU","Zavleceny",51.14256,6.78324,0.42416,10.45,578.3,22.85,0.0500000000000114,857.8,82.2,53.4,11.4
"EU28","EU","Zavleceny",51.42722,7.29018,0.4368,10.05,587.3,22.35,-0.449999999999989,1014.2,97.9,57.9,12.6
"EU29","EU","Zavleceny",51.86572,7.54834,0.4366,9.95000000000005,581.6,22.55,-0.349999999999966,846.2,80.1,47.2,12.9
"EU3","EU","Zavleceny",44.67113,7.28597,0.44316,11.15,690.9,24.95,-2.94999999999999,978.2,124.3,40.2,36.7
"EU30","EU","Zavleceny",52.15184,7.6159,0.44992,9.95000000000005,581.8,22.55,-0.349999999999966,815.6,78.1,44.1,14.2
"EU31","EU","Zavleceny",52.38889,7.94417,0.44264,9.75000000000006,582.1,22.35,-0.349999999999966,854.3,85.3,46,14.9
"EU32","EU","Zavleceny",52.72011,8.26118,0.43776,9.65000000000003,578.5,22.2500000000001,-0.349999999999966,799.1,76.3,43.5,14.5
"EU33","EU","Zavleceny",53.01177,8.70257,0.42268,9.55000000000001,578,22.05,-0.449999999999989,762.8,75.7,41.8,14.5
"EU34","EU","Zavleceny",53.22062,9.56834,0.44215,9.35000000000002,595.3,22.05,-0.749999999999943,832.5,85.7,45.1,15.6
"EU35","EU","Zavleceny",53.4468,10.08358,0.42972,9.25000000000006,605.2,22.2500000000001,-1.04999999999995,774.5,79.4,43.3,15.1
"EU36","EU","Zavleceny",53.98502,10.24835,0.43656,8.75000000000006,591.8,21.45,-1.24999999999994,852.3,86,46.3,15.7
"EU37","EU","Zavleceny",54.30611,10.13286,0.44164,8.85000000000002,583.2,21.15,-0.749999999999943,815.2,82.4,42.1,17.1
"EU38","EU","Zavleceny",54.71061,11.4508,0.42495,9.15000000000003,577.2,19.2500000000001,0.650000000000034,626,63.2,33.2,17.9
"EU39","EU","Zavleceny",55.45565,12.18828,0.4278,8.55000000000001,593.7,20.35,-0.949999999999989,652.4,70,33.5,20.6
"EU4","EU","Zavleceny",45.1911,8.0385,0.47424,13.35,753.2,28.65,-1.54999999999995,758.4,103.3,35.2,34.6
"EU40","EU","Zavleceny",55.68228,13.18643,0.45064,8.05000000000001,620.2,21.2500000000001,-2.44999999999999,722.3,76.9,41,20.8
"EU41","EU","Zavleceny",56.14472,13.75752,0.42432,7.45000000000005,626.8,20.85,-3.54999999999995,758.3,76.5,39.2,18.2
"EU42","EU","Zavleceny",56.44507,13.60293,0.444412,7.05000000000001,633.2,20.45,-4.04999999999995,920.9,98.3,47.6,19.5
"EU43","EU","Zavleceny",56.83254,13.96032,0.43232,6.75000000000006,649.9,20.65,-4.44999999999999,830.5,92.4,42.9,20.9
"EU44","EU","Zavleceny",57.6978,14.111,0.4508,6.35000000000002,668.4,20.65,-5.14999999999998,761.6,82.2,42.8,21.4
"EU45","EU","Zavleceny",58.16846,14.57616,0.42296,6.75000000000006,664.9,19.55,-3.84999999999997,613.6,81.7,30.4,31.7
"EU46","EU","Zavleceny",58.41322,15.65144,0.4136,6.85000000000002,689.1,21.55,-4.84999999999997,574.2,75.2,30.7,28.2
"EU47","EU","Zavleceny",58.66624,16.20078,0.4568,6.95000000000005,697,21.35,-4.64999999999998,611.5,72.1,32.2,26.9
"EU48","EU","Zavleceny",58.89243,17.56211,0.43292,6.85000000000002,675.1,20.7500000000001,-4.04999999999995,590.8,66.3,31.9,25.8
"EU49","EU","Zavleceny",59.31895,18.01697,0.44255,6.55000000000001,697.8,20.95,-4.84999999999997,582,68.8,30.2,26.7
"EU50","EU","Zavleceny",59.94927,17.70784,0.423133333333333,5.95000000000005,722.9,21.35,-6.44999999999999,674.8,86.3,34.1,29.4
"EU6","EU","Zavleceny",45.63655,8.37471,0.4318,12.45,697.1,26.15,-1.54999999999995,1337,177.9,58.7,31.5
"EU7","EU","Zavleceny",45.79983,8.87095,0.44776,12.65,698.7,26.7500000000001,-0.749999999999943,1480.4,186.5,58.8,31.3
"EU9","EU","Zavleceny",46.27302,8.99511,0.42036,12.35,716.4,26.65,-3.24999999999994,1719.6,208.9,54.4,35.6
"JA2","JA","Puvodni",32.81111,129.91806,0.443825,16.05,652.5,27.15,4.85000000000002,2683.9,474.2,81.3,57.4
"JA3","JA","Puvodni",32.98722,129.77472,0.43604,17.45,660.1,28.55,5.95000000000005,2327.9,392.6,69.1,54.5
"JA4","JA","Puvodni",33.20528,129.67667,0.4159,17.35,687,29.7500000000001,4.55000000000001,2282.7,412.2,69.9,56.6
"JA5","JA","Puvodni",33.32028,129.60111,0.429257142857143,16.7500000000001,674.8,28.65,4.35000000000002,2463.6,426.1,77.5,53.3
"JA6","JA","Puvodni",33.33138,129.52833,0.4223,17.35,653.3,28.85,5.65000000000003,2559.1,427,80.1,51.5
"US1","US","Zavleceny",34.243687,-83.458878,0.4506,16.35,720,31.65,1.85000000000002,1326.8,126.9,91.7,10.2
"US10","US","Zavleceny",36.646567,-80.918193,0.4376,11.65,732.1,26.95,-2.94999999999999,1128.9,117.4,77.7,12.9
"US11","US","Zavleceny",36.666216,-80.573968,0.3476,11.2500000000001,723.4,26.55,-3.14999999999998,1442,152.9,95.8,13.9
"US14","US","Zavleceny",37.3666,-79.408055,0.3906,13.95,802,30.55,-1.84999999999997,1087.4,108.8,75.1,10.8
"US15","US","Zavleceny",37.425445,-79.159612,0.3978,14.05,803.9,30.7500000000001,-1.74999999999994,1085.6,108.1,74.6,10.1
"US18","US","Zavleceny",38.45577,-78.594937,0.4352,12.55,833.1,29.55,-3.84999999999997,929.8,98.2,58.1,16.2
"US19","US","Zavleceny",38.646516,-78.535213,0.4182,12.85,851.9,29.95,-3.84999999999997,1046.8,111.9,65.7,16.9
"US20","US","Zavleceny",39.08063,-78.0857375,0.4844,12.85,851.5,30.15,-3.54999999999995,996.9,100.9,63,14.6
"US22","US","Zavleceny",39.610707,-76.682704,0.4432,12.55,857.3,29.35,-3.74999999999994,1165.8,112.1,79.4,11
